,Count,Percentage,date_cluster_date_cluster,Year_Year,Month_Month,Day_Day
0,12652,0.08445420502106014,8,0.25,0.36363636363636365,0.9666666666666667
1,12264,0.08186424046619362,3,0.25,0.1818181818181818,0.7333333333333333
2,11446,0.07640395436856263,10,0.5,0.7272727272727273,0.3666666666666667
3,10969,0.07321990000600764,12,0.5,0.6363636363636364,0.8666666666666667
4,10922,0.07290616718621712,11,0.25,0.2727272727272727,0.4666666666666667
5,10815,0.07219192438371526,5,0.25,0.1818181818181818,0.3333333333333333
6,10348,0.06907462168494549,2,0.0,0.8181818181818182,0.6666666666666666
7,9992,0.06669826245419166,14,0.5,0.6363636363636364,0.06666666666666668
8,9790,0.06534987884573024,1,0.75,0.36363636363636365,0.26666666666666666
9,9650,0.06441535555273716,13,0.25,0.36363636363636365,0.16666666666666669
10,9195,0.061378154850509646,0,0.75,0.5454545454545454,0.5333333333333333
11,8865,0.059175349945597394,9,0.25,0.0,0.16666666666666669
12,8711,0.05814737432330501,4,0.0,0.8181818181818182,0.06666666666666668
13,7335,0.04896234538645876,7,0.25,0.0,0.6
14,6855,0.04575826552476821,6,0.0,0.8181818181818182,0.9
